﻿﻿編號,﻿﻿後台景點編號,機關代碼,名稱,介紹內容,開放時間,郵遞區號,縣市,縣市別代碼,鄉鎮,地址,管理單位,電話,地理座標（緯度）,地理座標（經度）,停留時間,門票/收費,旅遊叮嚀,行車資訊,大眾運輸,停車資訊,官方網站,粉絲專頁,谷歌地點ID,服務設施,主題分類,認證分類,觀光局資訊標準格式分類
"1","1572","387300000H","第四市場","位於臺中市東區南京路上的歷史建築「第四市場」，市府引進民間資源及創意活化，於110年12月4日正式開幕營運，打造為兼具青年創業與文化蘊涵的景點，歷史建築第四市場外觀保有太子樓的屋頂，室內以白鐵桌椅、舊市場斑駁招牌、文青閱讀專區打造出兼容並蓄的空間，獨特的風格成為台中熱門打卡景點。該場所不定期舉辦歷史文化策展、漫畫及插畫主題性活動或在地青創市集，並結合漫插畫主題及在地農特產品進行商品販售與輕食餐飲服務，創造東區在地文化體驗及休閒娛樂兼具之場域，同時具備歷史建築保存活化與扶植青年創業之功能。其他服務（不定期辦理，活動公告於第四市場Facebook粉絲專頁）：市場小旅行、在地食材體驗、親子故事、主題圖書展等。","週一至週日 10:00～18:00週三休市國定假日開放時間另行公告","401","臺中市","66000","東區","南京路36號","","04-22151977","24.14067","120.69358","","","","","","","https://four-market.blogspot.com/","https://www.facebook.com/TaichungFourthMarket/","","停車場、公車站","休閒娛樂、主題街道、特色文化","","文化類"
"2","72","387300000H","臺中酒廠","台中酒廠的設置起源，可回溯至日治時期民營的「大正清酒株式會社台中工場」，大正５年(1916年)設於台中市南區，以生產清酒、米酒為主，是中部地區最大的酒廠。這座民營工場在大正11年酒類專賣制度實施後，由台灣總督府徵收改制為「台灣總督府專賣局台中酒工場」，而後因應產量增加需求，擴建其場區規模。二次世界大戰後，台中酒工場由國民政府接收，幾經交替，於民國46年(1957年)正式更名為「台灣省菸酒公賣局台中酒廠」。台中酒廠以研發黃酒及高濃度發酵米酒著名，因應民國５０年代市場對釀造酒的喜愛，除了原有的黃酒產線，亦積極研發新產品「花雕酒」，上市後引起風潮，並於民國７７年獲得「世界菸酒評鑑會金質獎」。 因應設備更新、環保要求與都市發展規劃，台中酒廠於民國87年遷至台中工業區。新廠區以整體規劃方式興建，融合傳統釀酒工藝與現代自動化控制技術，並導入標準作業程序，是全臺首家通過GMP認證的現代化酒廠，展現產業升級的典範。擁有清水磚牆、和式禮堂及木造大跨距廠房的「舊台中酒廠廠區」，則在民國91年由台中市政府指定為歷史建築，同年並納編為文化部文化資產園區預定地。 歷經遷廠與重新規劃，除了原本主打的蒸餾米酒與釀造黃酒外，台中酒廠也在民國88年，首度推出陳立夫先生提供由22種中藥材配方與高品質米糧合釀精製而成的「永康酒」，這款道地的中式養身酒，風味清香高雅，不僅適飲，更滋補有益健康，深獲消費者青睞。因我國加入WTO之後，菸酒專賣制度廢除，台灣省菸酒公賣局改制台灣菸酒公司，台中酒廠亦開始以消費者為導向，研發多元化產品。近年來，除了穩健生產最大宗的米酒，也致力於多樣化酒類新產品的開發，進行寡醣、果醋、紅麴等產品製作，不僅充分利用廠區、增加產能、提高設備利用率。文字資料來源：台中酒廠官網","9:00~17:00","407","臺中市","66000","西屯區","工業28路2號","","04-23501318","24.16484436","120.5990696","1-2小時","","","由五權西路交流道下高速公路，往台中工業區方向直行，見工業二十八路右轉，即可看到台中酒廠的指標。","","","https://event.ttl.com.tw/tc/","https://www.facebook.com/TaichungDistillerySalesCenter/?locale=zh_TW","ChIJf0GmxBU-aTQRvgiAHpgjyC0","展示館、販賣部","觀光工廠","","觀光工廠類"
"3","539","387300000H","阿聰師芋頭文化館","「阿聰師芋頭文化館」，提供芋頭酥DIY體驗活動，讓民眾親手體驗製作芋頭酥的樂趣，更設有糕餅文化館，讓民眾能夠了解芋頭、粉蔥與糕餅等文化，以及阿聰師品牌故事，打造出一個讓民眾寓教於樂的好地方。 園區設有阿聰師糕餅文化館、芋頭生態園區、3D立體彩繪牆(拍照區) 、DIY教室、阿聰師伴手禮專區與兒童閱讀區等六大主題區。遊客可自由參觀與預約手作體驗。經由導覽參觀可使遊客們了解阿聰師從業餘半世紀來所經歷的艱辛創業過程，以及如何推動大甲芋頭相關產業發展與大台中旅遊產業鏈結合的在地文化特色，是個非常適合家族同樂、員工旅遊、校外教學、情侶曬恩愛的最佳寓教於樂生活園區。園區備有大型停車場，讓你的愛車可以有寬敞的停放空間，讓遊客可安心自在地遊玩。糕餅文化館內有全世界最大顆的芋頭，有最完整的芋頭相關資訊:告訴你芋頭從哪裡來的、告訴你如何為芋頭防颱、告訴你如何削芋頭不手癢、告訴你如何吃芋頭防癌。還會告訴你中秋節除了烤肉外，你還可以有其他新選擇，玩博餅測運勢；聽聽不會做餅的糕餅祖師爺由來，看看年過半百的元老級擠花機，阿聰師的第一台電烤爐。芋頭知多少?生態園區可以讓你親手摸摸芋頭葉、如何辦識大甲芋頭—檳榔心芋、教你用一滴水分辨毒性堅強的姑婆芋、還會介紹豆豆龍專用最環保的雨傘給你認識、看看園區被粗心的油漆工染指的芋頭葉、沒事多喝水就會流淚的芋頭、好多有趣又好玩的芋頭，你意想不到的芋頭新知等你來發掘喔!戶外有全台最大的擀麵棍與彩色打蛋器，適合遊客拍照打卡。    DIY教室有寬敞明亮的無障礙空間，體驗手作芋頭酥的樂趣，從擀皮到捲皮；從壓製到包覆；從手忙腳亂到熟能生巧；四顆芋頭酥讓你從生手到熟手，只要30分鐘，絕對讓你回味無窮。    伴手禮區內有阿聰師自家研發生產的明星商品—小芋仔，阿聰師堅持來自自然，模仿自然。榮獲電視小零嘴封號—香貢貢芋頭條絕對讓你吃了會上癮，一口接一口，嘴巴停不了，還有奶油酥餅、芋頭酥餅、鳳梨酥、杏仁味十足的媽祖餅、甜酒釀芋頭豆腐乳、遊客必吃奶香芋香百分百—芋仔冰、芋香四溢的芋泥捲。30年穿越時空的清香，散播著幸福的回憶。90年代大型賣場出現，合味香進入關鍵轉型期，阿聰師以西式喜餅再出發，堅持創新製餅精神的阿聰師， 突破傳統禮餅觀念，創造了歐式風格【愛的宣言】塔式喜餅。阿聰師用各種瓜子作餡，象徵【多子多孫多福氣】，也用卡厚的餅做塔，表示感情堆積愈來愈高。民國87年，大甲芋頭生產過剩，愁眉苦臉的親友，經常送來許多檳榔心芋。阿聰師天天閉關精心研究， 如玫瑰花瓣般浪漫的芋頭酥，悄悄在大甲綻放著紫色芳香。不久經過傳媒大量報導後，『芋頭酥』開始聞名全台，阿聰師也締造了大甲芋頭產業的另一個春天。 阿聰師開心的說：「阮做夢也沒料想到，芋頭酥不僅救了大甲芋農，也幫助了自己的事業再創高峰。」阿聰師生長於大安，發跡於大甲，在大甲忙忙碌碌好幾十載，50餘年來不斷的持續研發大甲在地芋頭相關產品，近期時常懷念著媽媽的家鄉味，想起小時候媽媽在廚房裡，煮著菜脯蛋、蕃薯簽、芋頭米粉，炒菜、炒飯、炒麵、炒米粉時，就會趕緊跑去爸爸種的小菜園，摘幾根蔥、拔幾根蒜後，趕緊再跑回家，給媽媽｢欠香｣用，有媽媽的飯菜，好香、好好吃、好快樂！原來，少了一根蔥，就少了媽媽味！為了解相思，阿聰師精心鑽研出新的農特產品，把大甲在地的芋頭與大安在地的青蔥，結合在一起，讓它們迸出新的火花來，大甲芋、大安蔥，ㄆㄤ、ㄆㄤ、ㄆㄤ，香貢貢、貢貢香，創造出屬於家鄉味，也屬於媽媽味的全新農特產品-阿聰師貢貢香。嚴選大甲在地最上等的檳榔心芋，把新鮮的芋頭切成條狀，在不添加任何添加物下，進行高溫烘培，讓高溫把水分蒸發後，再使用進口健康的糯米麥芽黏上大安在地質地細嫩、 蔥白勻淨修長的青蔥，最後再灑上新鮮的白芝麻與胡椒調味而成，使產品吃起來非常順口涮嘴。玩累了館內有一隅兒童閱讀區，可以讓喜歡閱讀的小朋友靜靜看書，大人也可以安心休息片刻。阿聰師芋頭文化館秉持著一貫的初衷:自然與單純，沒有花俏的現代科技，只有一份最真的心，最誠的意，用實際行動灌溉著這片芋頭園區。開放時間：週一至週日，09:00-17:00館舍地址：臺中市大安區興安路168號聯絡電話：04-26713077 導覽解說：■有 □無 ■預約制(預約芋頭酥DIY，有附贈導覽解說)其他服務：■ DIY體驗：芋頭酥■ 文創小舖","週一至週日，09:00-17:00","439","臺中市","66000","大安區","福興里興安路168號","","04-26713077","24.34645","120.6022","1-2.5小時","","","","","","https://www.o-nongs.com.tw/","https://www.facebook.com/taromuseum/","","販賣部、停車場、公車站","觀光工廠","GTS國際標章","觀光工廠類"
"4","1636","387300000H","葵海休閒農場"," #親子旅遊  #焢窯  #休閒農場  #台中一日遊於農場內遊客可以自己動手完成鄉土焢窯，達成鄉村美食的體驗。另外焢窯完成等待時可以自己製作大甲芋頭酥、葵花粿，自己做自己吃；也可以進行農場自己設計的彩繪DIY活動:葵海冰箱貼、葵海鑰匙圈，可將活動的記憶帶回去，都是受歡迎的彩繪紀念品活動；另外還有小朋友最喜愛的踩泥巴活動，解放雙腳的束縛，踩在軟Q的泥巴裡，未曾體驗過的感受，並搭配農夫體驗課程，了解農夫耕耘的辛苦。以上圖文由臺中市政府農業局及農場協助提供。","9:00~16:00 (11:00 前需到達農場)","437","臺中市","66000","大甲區","西岐里如意路33巷50號","","918334967","24.4212058","120.6172919","4-5小時","","","北上：台61線135K下交流道(大甲/建興),直行走慢車道往前第三個路口,即可左轉進入葵海休閒農場南下：台61線130K下交流道(苑裡),直行走慢車道往前第五個路口,即可右轉進入葵海休閒農場","","","http://www.artisans.com.tw","https://www.facebook.com/artisans8888","","","花園農場","","休閒農業類"
"5","60","387300000H","臺中市港區藝術中心","臺中市港區藝術中心位於清水區，背山、面海，建於高低起伏的人工矮丘與平地之間，建築仿閩南風格設計，古樸典雅。是一處多功能複合式的藝術展演場所，總面積約3公頃，主要區分為展覽廳、演藝廳、美術家資料館、演講會議廳、戶外劇場休閒區、研習教室區和行政區等，設施功能完善。除提供人文藝術演出的舞台及民眾文化休閒的集散地，亦積極化邊陲地緣位置的先天不足，已成為全國藝術展演的核心與場所。臺中市地形東西狹長，地方文化資源分配不易，為使藝文推廣能達全面之效，自民國82年起興建臺中市港區藝術中心，並於89年3月正式營運。中心座落於文風鼎盛的清水區，東靠鰲峰山、西臨台中港、北傍大甲溪，建於高低起伏的人工矮丘與平地之間，以「院落空間」作為整體空間之詮釋，建築仿閩南合院風格設計，並帶有傳統書院格調，古樸典雅。展覽廳總面積約3,000平方公尺，以「尋藝」為展示空間之意涵。如家門大小一般的入口，營造出尋覓的氛圍，讓大眾在善用公共資源時，有如回家的感覺。主要有展覽室A（約1,800平方公尺）、展覽室B（約750平方公尺）、展覽室C（約280平方公尺）、中央畫廊、清水廳、掬月廳、二樓展示場及天井廣場展覽區，經常辦理繪畫、書法、攝影、雕塑、陶藝和文物等展覽活動。美術工坊包含四間研習教室，分別命名為「春雨工坊」、「夏荷工坊」、「秋月工坊」、「冬陽工坊」，搭配良好的視聽設備與機動式座椅，提供完善的學習環境，提供藝文研習班與假日親子研習活動使用。演藝廳佔地約1,800平方公尺，大廳上方狀如斗笠的白色薄膜式屋頂，是中心最具特色的指標建築。舞台為鏡框式設計，觀眾席共546席。附設有樂團排練室及舞蹈排練室各一間，是一個以音樂為主，戲劇舞蹈為輔的多功能中小型演藝場所。戶外劇場休閒區戶外劇場休閒區為一開放式表演空間，包括藝術廣場、清水廣場、迴旋廣場、圖騰廣場、瓜棚廣場和雅書廊等六個戶外廣場，適合地方戲曲、露天音樂會、假日文化廣場等戶外活動之表演。清風樓清風樓為一棟閩南式2層樓建築，為支持藝術創作者實現藝術夢想，擁有發展創作、推廣生活美學空間，自2013年起，將清風樓開放藝術工作者申請進駐。進駐期間，來訪民眾可近距離接觸藝術創作的過程。導覽解說：■有 □無 ■預約制 線上預約：https://tcsac.taichung.gov.tw/Service/Tour_Apply","展覽廳：週二至週日9：00～17：30（週一休館） 演藝廳：依節目時程開放 戶外廣場：每日5：00～22：00","436","臺中市","66000","清水區","忠貞路21號","","04-26274568","24.26945959","120.5576643","2-2.5小時","","1.請勿攜帶各種食物飲品、傘具、動物、危險易燃物品等進入。2.請衣著整潔，勿穿拖鞋、赤腳進入。3.入館後請輕聲細語，請勿高聲談笑、追逐嬉戲、飲食、吸菸、躺臥、使用行動電話、嚼食檳榔等不當行為。4.可拍攝展陳空間及館內合影留念，但為維護畫作與觀賞品質，拍照時請關閉閃光燈，若因教學、研究或報導有逐幅拍攝作品之需要，請事先申請攝影證。","1.請由國道三號沙鹿交流道下，往沙鹿清水方向，直行中清路循省道臺10線往清水行駛至下高架道路，遇忠貞路左轉，即可到達。2.請由省道臺61線(西濱快速道路)清水出口下，遇中清路或五權路轉往清水方向，至忠貞路右轉即可到達。","1.公車-搭乘111、123、128、303、304、306、306區公車，於清水國中站或港區藝術中心站下車。2.火車-搭乘經由海線火車至清水站下車，轉乘計程車約6分鐘可抵達。3.高鐵-請至臺中站下車，搭乘計程車約40分鐘可抵達。或於臺鐵新烏日站搭乘經由海線之火車至清水站下車，轉搭計程車約6分鐘可抵達。4.飛機-於臺中航空站搭乘計程車約15分鐘可抵達","車輛可免費停放於港區藝術中心停車場及園區周邊停車格。","https://tcsac.taichung.gov.tw/","https://www.facebook.com/tcsac.taichung/","ChIJl3YDipsUaTQRkAUn1vk8XfA","展示館、公共電話、停車場、公廁、公車站、無障礙廁所、無障礙坡道、無障礙電梯、無障礙停車位","藝術空間、教育資源、無障礙景點","","藝術類"
"6","928","387300000H","亞洲大學現代美術館","亞洲大學現代美術館建築主體由清水混凝土與帷幕牆構成，室內面積1,244坪，戶外場域6,000坪。依建築師安藤忠雄的設計，以正三角形為設計基本元素，將正三角形的平面分割成3個樓層，再錯落堆疊成不規則的無數個三角形。藉由錯落平移而產生的天井空間和戶外平台，將變身為雕刻台、露天咖啡座等不同機能的區域。因應地震帶的地理條件，顛覆一般直立式的柱子，美術館內的柱子全是「歪」的，由Ｖ形鋼架構造而成的空間及帷幕窗景因而也都呈現三角形。Ｖ形鋼架支撐突出的懸臂下部空間，則形成如騎樓般可庇蔭的空間，此處同時也是入口通道及面臨廣場前的休憩園地。在這個前衛具挑戰性的大膽建築中，外在低調靜謐而純粹，內在精準而沉靜，安藤忠雄致力讓人、藝術與大自然在此相遇、對話。導覽解說：■有 □無 ■預約制其他服務：■ 文創小舖 ■ 餐飲品牌","週二至週日 9:30 - 17:00，週一休館。( 如遇國定假日照常開放，除夕、年初一休館)","413","臺中市","66000","霧峰區","柳豐路500號","","04-23399981","24.0461479","120.6874019","1-3小時","全票：250 元，優待票：220 元，團體票：200 元；票價依各檔期特展為準，詳細資訊請參照官網。","","經國道一號中山高速公路從「南屯/中港/中清交流道」下，往台中市區方向，行經五權西路/中港路/大雅路，至五權路右轉，接五權南路後上中投公路，於9.5公里處下「丁台匝道」，第一個紅綠燈左轉，由丁台路右轉福新路往霧峰市區方向直行，遇柳豐路後右轉即可到達　	　經國道三號從「國道三號」「霧峰交流道」下，經「國道三號」引道接台三線省道後左轉林森路，至福新路左轉，遇柳豐路左轉即可到達；或接台三線省道後右轉往草屯方向，直行過四個紅綠燈口，遇柳豐路右轉即可到達經國道六號從「國道六號」往台中方向，接「國道三號」往北，從「霧峰交流道」下，經「國道三號」引道接台三線省道後左轉林森路，至福新路左轉，遇柳豐路左轉即可到達；或接台三線省道後右轉往草屯方向，直行過四個紅綠燈口，遇柳豐路右轉即可到達經中投公路從「丁台匝道」下，接丁台路連福新路往霧峰市區方向直行，遇柳豐路後右轉即可到達","公車從台灣桃園國際機場可搭乘1860路國光巴士、5503路飛狗巴士、1623路統聯巴士抵達台中火車站。若您從台中航空站（清泉崗機場）前往，則可搭乘9路及115路公車抵達台中火車站。從台中火車站搭乘台中客運100號公車，到終點站亞洲Modern下車。搭乘高鐵可於抵達高鐵台中站後，至14號月台轉搭統聯151副公車，到終點站霧峰亞洲大學門口下車。高鐵、轉公車從台灣桃園國際機場搭乘高鐵接駁巴士到達高鐵桃園站，可搭乘高鐵抵達高鐵台中站下車，轉搭統聯151副公車，到終點站霧峰亞洲大學門口下車。","本館收費停車場位於美術館左側和後方，提供來館參觀民眾使用。","https://asiamodern.asia.edu.tw/","https://www.facebook.com/ASIAMOMA/","ChIJc0ed-Bc7aTQRf8OBIqtfGXU","展示館、販賣部、停車場、公廁","藝術空間","","藝術類"
"7","820","387300000H","趙家窯","趙家窯，創立於 1988年3月，地址設於臺中市大雅區，主要產品為生活陶器。手繪荷花茶具是主要產品特色，並刻意用手繪陶與一般市場做特色區隔，其經營目標就是地方文化的深耕與傳承，並希望將所學推廣並落實於生活層面。從小生長在工藝世家的趙勝傑、趙勝湧和趙崇源三兄弟，由於祖父 (趙阿井)和父親(趙義雄)都是木器工匠，專職製作外銷日本的精緻木器，一身工夫了得，以致三兄弟求學時也選擇就讀美工科。他們在學校接觸到雕塑、攝影、陶瓷、繪畫、設計……等藝術及工藝領域，加上家族耳濡目染薰陶之下，為工藝創作打下相當扎實的基礎，也造就現今在創作上 「陶藝生活化」的特殊美感經驗。 老大趙勝傑畢業後，在老師推薦下進入集集添興窯當學徒。十五年前的添興窯正處新舊交替，開始轉作生活陶的時段，趙勝傑在窯廠的兩年間，學習柴燒、上釉等工廠實務經驗，最後回到故鄉-臺中市大雅區成 立「御陶坊」專業作陶，並以新世代行銷的觀念在百貨公司設立陶藝專賣店。由於是自己創作陶瓷，並且與消費者直接溝通的家族式陶藝公司 ，加上二弟趙勝湧與三弟趙崇源都相繼加入，所以改稱「趙家窯」。近年來設計一系列的新式茶具，透過百貨公司與陶器茶具分店的通路，頗受肯定。 趙家兄弟在臺中市立文化中心及嘉義梅林美術館舉辦過個展，創作主旨皆致力於將創作融入生活之中。這幾年經常從事茶具與餐具的創作，曾與「耕讀園」配合製作「賞荷華會」等活動 。趙勝傑近年來在陶瓷創意新商品的開發設計上多所著力，曾入選 2003、2004陶瓷產品年度評鑑的「日用陶瓷類」，於2003年的社造全國年會的「創意陶瓷館」也受邀展出。","","428","臺中市","66000","大雅區","員林村大林路66巷12號","","04-25662056","24.2324463","120.6441596","1-3小時","採預約制","","","","","https://www.facebook.com/DaYaZhaoJiaYao/","","ChIJicsq1uoWaTQR9QAZl-gze50","展示館、公廁、解說簡報","特色文化","","文化類、藝術類、遊憩類"
"8","32","387300000H","臺中市中山堂","臺中中山堂位於歷史悠久的中正公園旁，於1989（民國78）年4月1日正式啟用，佔地面積33,564.94平方公尺，建坪16,607.5平方公尺，有著呈現四分之一圓的優美弧型的建築外觀，為一座地下二層、地上三層的建築體。臺中中山堂內設有挑高寬闊的大廳，以及足夠容納1,581人進場觀賞演出的雙層觀眾席。中山堂的舞台、燈光及懸吊系統等設備，深具國際水準，為中部地區功能最完善的劇場之一，一向為國內外知名演藝團體在中部演出的首選之地。中山堂場地資訊容納人數： 一般席1557席（ 無障礙觀眾席12席、陪同席12席)聯絡電話：技術業務：04-22303100、場地外借：04-23727311分機311舞台規格：舞台總寬2290公分，舞台縱深1590公分，舞台鏡框寬1679公分、高999公分。圖文由本府文化局協助提供。 ","視演出活動而定，建議先至中山堂網站查閱節目資訊","404","臺中市","66000","北區","學士路98號","","04-22303100","24.1553","120.68276","1.5-2小時","","","由1號中山高速公路→中港交流道下→經台灣大道(往市區方向)→英才路左轉直走→到底至學士路口(中正公園)→右轉10公尺在左邊","(一)公車：臺中客運35； 仁友客運 25；統聯客運61；高鐵快捷公車 中山堂站(二)從臺中高鐵轉乘：可於高鐵臺中站搭乘往車站(經中國醫藥大學)方向之高鐵快捷公車，於「中山堂站」下車即到達。(三)各家公車網站：（1）全航客運股份有限公司www.chbus.com.tw/（2）仁友汽車客運公司www.rybus.com.tw/（3）臺中汽車客運公司www.tcbus.com.tw/（4）統聯汽車客運公司www.ubus.com.tw/","中山堂周邊停車場有中正公園地下停車場、中山堂南側平面停車場、五義平面停車場、中賓平面停車場、五順平面停車場、五權立體停車場。","https://hall.culture.taichung.gov.tw/","","","展示館、公共電話、停車場、公廁、公車站","藝術空間","","文化類、藝術類"
"9","940","387300000H","紙箱王 Carton King","A.主題園區用紙打造可以風吹雨淋的超大全球著名建築物，出國不一定要搭飛機，來到紙箱王就可以環遊世界，紙箱王夜晚打亮的世界建築讓你驚嘆世界之美。B.呆呆鐵路-紙箱環遊列車紙箱王熱門親子設施-紙箱小火車，搭乘仿真紙火車帶著你環遊世界，探索新奇的紙的王國，飽覽所有秘密景點，穿越箱菇小鎮、彷彿漫步雲端的么么步道，還有經過祈福站看天燈高掛空中，最後來到夢幻森林國度，經歷一場奇幻的火車之旅 。C. 鋼筋藝術打造童話世界紙箱王結合國內金屬工藝大師劉丁讚先生共同設計打造紙箱王裡鋼筋藝術的童話世界。 a.箱菇小鎮園區裡的可愛超級大香菇，站在旁邊就像化身成小小超級瑪莉，香菇變身魔法部屋，體驗一場冒險之旅，在這裡不只可以拍出網美照旁邊還有當地香菇小吃可以品嘗。b.么么步道用鋼筋藝術製作的么么天空步道，讓你一覽紙箱王風景之外，白色系列的造景還可以拍出漂亮又夢幻的照片，在這裡挑戰你的膽量，體驗漫步在空中的美好感受。c.特色溜滑梯用鋼筋藝術打造大小朋友最愛的溜滑梯，有兩層樓高的松鼠陪你溜滑梯挑戰你的膽量，還有可愛箱菇小鎮溜滑梯，讓你盡情玩耍。D.紙箱故事館逛完一圈紙箱故事館，你會發現這裡沒有紙辦不到的生活創意，你能發揮你的創意，這裡有多項特色DIY可以自己動手做，從動物、IQ Ball到紙做的文具、包包等，讓你發現紙藝文創的天馬行空E.呆呆機場-地標博物館在紙箱王體驗出國的樂趣，有行李輸送帶到飛機登機口，還有特色伴手禮讓你回味，觀看飛機準備起飛，體驗翱翔天際後還有世界地標博物館可以觀賞，讓旅人們可以輕鬆俯瞰全世界，帶給你滿滿的偽出國之旅。F.光陰故事館這裡有販售園區自製的精美相框，還有提供現場沖洗照片的服務，讓你重回沖洗照片時代的溫度，照片跟回憶不該只留在手機裡，在紙箱王留下美好的回憶後，沖洗照片後帶回家留給你簡單又美好感動。G .祈福站紙箱王充滿祝福的祈福站，這裡有許多天燈高掛在空中，搭上小火車從幸福搭到平安，祈求大家幸福又平安，這裡還有座快樂兒童區，有免費好玩的遊戲互動設施，任您暢玩一整天。H.紙箱王創意主題餐廳曾被舉為世界十大奇特餐廳之一，由紙打造的紙椅紙桌，以及現在用特殊紙材做成的紙火鍋，紙箱王主題餐廳將紙的屬性發揮到淋漓盡致。I .森林果汁吧熱帶風情為設計主題的酒吧，在秋天夜裡微風吹彿下成了許多人欣賞紙箱王之美的最佳場所，大自然的天籟也此起彼落譜出最美的樂章。J .無糖部落Miss Coffee 糸氏咖啡 糸+氏=紙，Miss有錯失。遺漏。想念的涵義紙箱王獨創結合紙藝的咖啡廳，運用光影、樹影與紙雕花影，築起這一片純白色系樹屋室內運用白色紙花磚佈置連桌椅也是紙做的，提供輕食、蛋糕及飲品等K.蜜蜂故事館這裡有健康的蜂蜜產品，在紙箱王的設計包裝下，蜜蜂故事館裡充滿各種以瓦楞紙建構而成的蜂巢型展架，在紙藝文化與傳統農產業的結合下，也別有一種味道。以上圖文由紙箱王協助提供。","全年無休| 園區營業時間: 平日09:00 ~ 19:00 | 假日(例假日) 09:00 ~ 21:00 (7點過後僅餐廳/糸氏咖啡/紙箱小火車 營業) *六點過後免費入園","406","臺中市","66000","北屯區","東山路二段二巷二號","","04-22398868#26","24.17784","120.73908","1-3小時","全票: NT.$200/人愛心票: NT.$100/人 65歲以上長者、持有身心障礙手冊者適用兒童票: 100公分以下兒童免費入園*身高100公分以上兒童需購買全票入園*門票含園區折抵券$50(餐廳、門市、DIY商品皆可使用)*紙箱小火車需現金支付不可折抵正確資訊請依紙箱王官方網站公告為主。","","※自行開車國道一號/由大雅交流道(往台中市的方向)走中清路►左轉文心路►東山路►約20分鐘抵達紙箱王在右邊國道一號 /由大雅交流道(往台中市的方向)左轉環中路►松竹路右轉►東山路左轉►約10分鐘抵達紙箱王在右邊國道三號 /下霧峰交流道(74快速道路)►往大里.太平方向►下東山路(22K松竹交流道)►右轉東山路►約15分鐘抵達紙箱王在右邊衛星定位導航座標：經度〈X〉120.73935371523596，緯度〈Y〉24.17864153726837 (本座標僅供參考, 實際出發前請再次確認)","※大眾交通台中客運15號、16號，大坑圓環站下車約一分鐘路程。仁友客運1號、20號、21號、31號，大坑圓環站下車約一分鐘路程。烏日高鐵站:可搭85號公車直達，大坑圓環站下車約一分鐘路程。請參照http://citybus.taichung.gov.tw/iTravel/","","https://www.cartonking.com.tw/","","","展示館、販賣部、停車場、公廁、網路","休閒娛樂、藝術空間、特色文化","","遊憩類"
"10","212","387300000H","沐心泉休閒農場","沐心泉腹地遼闊，總面積超過八公頃，置身在餐廳平台，放眼望去盡是滿山翠綠的原始林木，農場位於600至900公尺的高海拔山上，至高點上向南可望酒桶山，西可遠眺台中港，東看大雪山，而農場東側與大甲溪河床約有300多公尺的落差，其遼闊的景緻不亞於站在台北101俯看台北市，傍晚的景緻更是令人驚嘆，可俯瞰整片霓紅燈海的台中盆地；抬頭仰望滿天的星斗與明亮星鑽。農場位於層層山巒之上，清晨觀日出，看那第一道曙光的活力；黃昏看夕陽，看那滿天彩霞的柔媚，佇足在峰頂，時見山間雲海起伏，除了視覺的享受外，聽覺的激盪又是一番幸福，聽那溫婉的鳥鳴，尤其是那竹雞的叫聲更是可愛，還有大甲溪的潺潺流水聲，聽那大自然美妙的天籟之音，能洗滌心靈，讓人無限舒暢。為了不破壞山林的原有景緻，這裡不論是涼亭、步道甚或屋頂皆以原始樸素的基調去造做，以融入這片大自然的好環境。農場備有停車場，除了寬闊的平台外，更將原有2公里的農路修築成4米寬的平坦道路，道路兩側除了原有的嫩草鮮花與長年老木外，更植有櫻花、杜鵑、野百合、薰衣草、楓樹、金針花、油桐花......等，農場中有十幾座涼亭以及數座公廁，可提供旅客最舒適的遊園環境，農場中有長約1公里的步道，更可引領遊客進入另一段高潮，依著山勢的層疊起伏，不同的角度向下俯瞰餐廳皆呈現不同的舖陳和線條，總令人感到驚喜。農場設立的宗旨，除了分享美好的景色事物外，更希望能成為繁忙都市人心中的一片淨土，讓生活在鋼筋叢林中的都市人能遠離塵囂，放鬆心情、洗淨心靈的疲憊，特命名為”沐心泉”。文字出處：沐心泉休閒農場","開放時間：平日09：30-18：00、假日09：30-18：30(最後入園時間16：30)供餐時間：10：30-16：30(特別休假、及螢火蟲季相關營業時間會另行公告。)","426","臺中市","66000","新社區","中興街60號","","04-25931201","24.1495654","120.8475433","1-3小時","入園門票的售價200元(1人)。非花季或國定假日期間，門票可以全額折抵200元消費。花季以及國定假日期間，門票只折抵100元消費。","","國道一號由中清交流道下走松竹路，往大坑方向經東山樂園，過中興嶺再往新五村方向直走，見往中和村指標右轉，經一段山路，遇大三叉路口，右轉往中和村，直行經中和國小（在此之前可依薰衣草森林路標走）再往前行約5~7分鐘左右，看見沐心泉招牌依山路向上即可到達。國道一號（或國道三號）接國道四號走到底下豐原交流道，走台3號省道經石岡，往東勢方向，過東勢大橋後往右轉接台8號省道中橫公路往谷關路上，過龍安橋往新社方向一直直行，經過安妮公主花園再直行，到三叉路口左轉往中和村方向，行經中和國小（在此之前可依薰衣草森林路標走）再往前行約5~7分鐘左右，看見沐心泉招牌依山路向上即可到達。","","","http://0425931201.mmmtravel.com.tw/","https://www.facebook.com/springmountain0425931201","ChIJB9_h5AofaTQRMI3mxjiusEM","公廁、步道","花園農場","","休閒農業類、遊憩類"
